PROCESS	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
positive regulation of actin nucleation (GO:0051127)	9	2	0.31	+	6.41	3.66E-02	6.32E-01
tricarboxylic acid metabolic process (GO:0072350)	9	2	0.31	+	6.41	3.66E-02	6.30E-01
polyphosphate metabolic process (GO:0006797)	14	3	0.49	+	6.18	1.13E-02	4.91E-01
formin-nucleated actin cable organization (GO:0110009)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
contractile ring contraction (GO:0036213)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
histone catabolic process (GO:0036205)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
positive regulation of cell differentiation (GO:0045597)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
chloride transport (GO:0006821)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
regulation of mitotic actomyosin contractile ring contraction (GO:1903471)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
Golgi vesicle budding (GO:0048194)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
antisense RNA metabolic process (GO:0042868)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
response to light stimulus (GO:0009416)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
osmosensory signaling pathway (GO:0007231)	15	3	0.52	+	5.77	1.37E-02	5.43E-01
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
"regulation of mRNA splicing, via spliceosome (GO:0048024)"	5	1	0.17	+	5.77	1.62E-01	1.00E+00
sister chromatid biorientation (GO:0031134)	10	2	0.35	+	5.77	4.48E-02	7.35E-01
regulation of polysaccharide biosynthetic process (GO:0032885)	15	3	0.52	+	5.77	1.37E-02	5.38E-01
tRNA re-export from nucleus (GO:0071528)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
manganese ion homeostasis (GO:0055071)	10	2	0.35	+	5.77	4.48E-02	7.32E-01
positive regulation of phosphatidylcholine metabolic process (GO:0150173)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
positive regulation of phosphatidylcholine biosynthetic process (GO:2001247)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
spermidine transport (GO:0015848)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
cellular response to xenobiotic stimulus (GO:0071466)	10	2	0.35	+	5.77	4.48E-02	7.30E-01
peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion (GO:0071432)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
regulation of glucan biosynthetic process (GO:0010962)	15	3	0.52	+	5.77	1.37E-02	5.34E-01
mitotic division septum assembly (GO:0140278)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
protein K11-linked ubiquitination (GO:0070979)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
carbohydrate phosphorylation (GO:0046835)	15	3	0.52	+	5.77	1.37E-02	5.30E-01
fatty acid elongation (GO:0030497)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
cellular response to ethanol (GO:0071361)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
regulation of membrane potential (GO:0042391)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
sno(s)RNA catabolic process (GO:0016077)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
snRNA catabolic process (GO:0016076)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
positive regulation of cell development (GO:0010720)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
mitotic actomyosin contractile ring contraction (GO:1902404)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
actomyosin contractile ring contraction (GO:0000916)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
cellular response to alcohol (GO:0097306)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
formin-nucleated actin cable assembly (GO:0070649)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
negative regulation of Rho protein signal transduction (GO:0035024)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
poly(A)-dependent snoRNA 3'-end processing (GO:0071051)	10	2	0.35	+	5.77	4.48E-02	7.27E-01
antisense RNA transcript catabolic process (GO:0071041)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
nuclear polyadenylation-dependent snRNA catabolic process (GO:0071037)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
nuclear polyadenylation-dependent snoRNA catabolic process (GO:0071036)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
regulation of reciprocal meiotic recombination (GO:0010520)	10	2	0.35	+	5.77	4.48E-02	7.25E-01
UDP-glucose metabolic process (GO:0006011)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
chorismate metabolic process (GO:0046417)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
parallel actin filament bundle assembly (GO:0030046)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
intracellular manganese ion homeostasis (GO:0030026)	10	2	0.35	+	5.77	4.48E-02	7.22E-01
protein localization to cell cortex (GO:0072697)	10	2	0.35	+	5.77	4.48E-02	7.20E-01
negative regulation of termination of DNA-templated transcription (GO:0060567)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
gene conversion at mating-type locus (GO:0007534)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
regulation of termination of DNA-templated transcription (GO:0031554)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	15	3	0.52	+	5.77	1.37E-02	5.25E-01
positive regulation of small GTPase mediated signal transduction (GO:0051057)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
pentose metabolic process (GO:0019321)	10	2	0.35	+	5.77	4.48E-02	7.18E-01
copper ion transport (GO:0006825)	16	3	0.55	+	5.41	1.65E-02	5.62E-01
negative regulation of protein-containing complex disassembly (GO:0043242)	16	3	0.55	+	5.41	1.65E-02	5.58E-01
regulation of mitotic cytokinesis (GO:1902412)	16	3	0.55	+	5.41	1.65E-02	5.54E-01
trehalose metabolic process (GO:0005991)	11	2	0.38	+	5.25	5.35E-02	8.05E-01
cellular response to glucose stimulus (GO:0071333)	11	2	0.38	+	5.25	5.35E-02	8.03E-01
cellular response to hexose stimulus (GO:0071331)	11	2	0.38	+	5.25	5.35E-02	8.00E-01
cellular response to monosaccharide stimulus (GO:0071326)	11	2	0.38	+	5.25	5.35E-02	7.98E-01
copper ion import (GO:0015677)	11	2	0.38	+	5.25	5.35E-02	7.95E-01
negative regulation of protein depolymerization (GO:1901880)	11	2	0.38	+	5.25	5.35E-02	7.93E-01
ATP export (GO:1904669)	17	3	0.59	+	5.09	1.95E-02	5.96E-01
spermine transport (GO:0000296)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
xenobiotic metabolic process (GO:0006805)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
spliceosomal tri-snRNP complex assembly (GO:0000244)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
ubiquitin-dependent endocytosis (GO:0070086)	12	2	0.42	+	4.81	6.28E-02	8.67E-01
regulation of mitotic spindle organization (GO:0060236)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
nuclear membrane organization (GO:0071763)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
negative regulation of actin filament polymerization (GO:0030837)	12	2	0.42	+	4.81	6.28E-02	8.65E-01
phosphorelay signal transduction system (GO:0000160)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
negative regulation of transcription by RNA polymerase III (GO:0016480)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
"DNA replication, removal of RNA primer (GO:0043137)"	6	1	0.21	+	4.81	1.91E-01	1.00E+00
replication fork arrest (GO:0043111)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
regulation of establishment or maintenance of cell polarity (GO:0032878)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
negative regulation of apoptotic process (GO:0043066)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
Golgi to plasma membrane protein transport (GO:0043001)	12	2	0.42	+	4.81	6.28E-02	8.62E-01
peptide transport (GO:0015833)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
free ubiquitin chain polymerization (GO:0010994)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
N-glycan processing (GO:0006491)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
valine biosynthetic process (GO:0009099)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
cellular response to carbohydrate stimulus (GO:0071322)	12	2	0.42	+	4.81	6.28E-02	8.60E-01
hydrogen sulfide biosynthetic process (GO:0070814)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
hydrogen sulfide metabolic process (GO:0070813)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
protein N-linked glycosylation via asparagine (GO:0018279)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
transcription-coupled nucleotide-excision repair (GO:0006283)	12	2	0.42	+	4.81	6.28E-02	8.57E-01
mitochondrial RNA 5'-end processing (GO:0000964)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
mitotic cytokinetic process (GO:1902410)	18	3	0.62	+	4.81	2.28E-02	6.24E-01
'de novo' NAD biosynthetic process (GO:0034627)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
regulation of actomyosin contractile ring contraction (GO:0031991)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
regulation of protein depolymerization (GO:1901879)	12	2	0.42	+	4.81	6.28E-02	8.55E-01
acetyl-CoA biosynthetic process (GO:0006085)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
peptidyl-lysine monomethylation (GO:0018026)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
nuclear migration involved in conjugation with cellular fusion (GO:0000743)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
meiotic DNA double-strand break processing (GO:0000706)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
U1 snRNA 3'-end processing (GO:0034473)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
intracellular potassium ion homeostasis (GO:0030007)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
positive regulation of fatty acid metabolic process (GO:0045923)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
'de novo' NAD biosynthetic process from tryptophan (GO:0034354)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
regulation of ascospore formation (GO:0034307)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
dicarboxylic acid catabolic process (GO:0043649)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
cellular response to iron ion starvation (GO:0010106)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
vacuole inheritance (GO:0000011)	19	3	0.66	+	4.56	2.64E-02	6.87E-01
neutral amino acid transport (GO:0015804)	19	3	0.66	+	4.56	2.64E-02	6.83E-01
protein localization to cell periphery (GO:1990778)	38	6	1.32	+	4.56	1.76E-03	1.97E-01
phosphate ion transport (GO:0006817)	13	2	0.45	+	4.44	7.25E-02	8.33E-01
establishment of mitotic spindle orientation (GO:0000132)	13	2	0.45	+	4.44	7.25E-02	8.31E-01
positive regulation of cell cycle G1/S phase transition (GO:1902808)	13	2	0.45	+	4.44	7.25E-02	8.29E-01
traversing start control point of mitotic cell cycle (GO:0007089)	13	2	0.45	+	4.44	7.25E-02	8.27E-01
"mRNA cis splicing, via spliceosome (GO:0045292)"	13	2	0.45	+	4.44	7.25E-02	8.25E-01
glutamate metabolic process (GO:0006536)	13	2	0.45	+	4.44	7.25E-02	8.23E-01
protein monoubiquitination (GO:0006513)	13	2	0.45	+	4.44	7.25E-02	8.21E-01
polyamine transport (GO:0015846)	13	2	0.45	+	4.44	7.25E-02	8.19E-01
ubiquitin recycling (GO:0010992)	13	2	0.45	+	4.44	7.25E-02	8.18E-01
regulation of transcription by RNA polymerase III (GO:0006359)	13	2	0.45	+	4.44	7.25E-02	8.16E-01
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	13	2	0.45	+	4.44	7.25E-02	8.14E-01
establishment of spindle orientation (GO:0051294)	13	2	0.45	+	4.44	7.25E-02	8.12E-01
fungal-type cell wall polysaccharide biosynthetic process (GO:0051278)	13	2	0.45	+	4.44	7.25E-02	8.10E-01
intermembrane lipid transfer (GO:0120009)	13	2	0.45	+	4.44	7.25E-02	8.08E-01
fungal-type cell wall polysaccharide metabolic process (GO:0071966)	13	2	0.45	+	4.44	7.25E-02	8.06E-01
regulation of fungal-type cell wall organization (GO:0060237)	20	3	0.69	+	4.33	3.03E-02	6.89E-01
regulation of cytokinetic process (GO:0032954)	20	3	0.69	+	4.33	3.03E-02	6.86E-01
regulation of dephosphorylation (GO:0035303)	20	3	0.69	+	4.33	3.03E-02	6.82E-01
spliceosomal complex assembly (GO:0000245)	27	4	0.94	+	4.28	1.32E-02	5.34E-01
regulation of cell size (GO:0008361)	27	4	0.94	+	4.28	1.32E-02	5.30E-01
xenobiotic transport (GO:0042908)	14	2	0.49	+	4.12	8.28E-02	8.72E-01
regulation of cell differentiation (GO:0045595)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of cell development (GO:0060284)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
tRNA gene clustering (GO:0070058)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of monoatomic ion transport (GO:0043269)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
tryptophan biosynthetic process (GO:0000162)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
very long-chain fatty acid biosynthetic process (GO:0042761)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
amino acid transmembrane export from vacuole (GO:0032974)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
farnesyl diphosphate metabolic process (GO:0045338)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
mitotic morphogenesis checkpoint signaling (GO:0044879)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
polyamine metabolic process (GO:0006595)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
positive regulation of establishment of protein localization (GO:1904951)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
potassium ion homeostasis (GO:0055075)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of phosphatidylcholine metabolic process (GO:0150172)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
copper ion transmembrane transport (GO:0035434)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
aminophospholipid translocation (GO:0140331)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of phosphatidylcholine biosynthetic process (GO:2001245)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
cellular response to alkaline pH (GO:0071469)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
trehalose biosynthetic process (GO:0005992)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
indole-containing compound biosynthetic process (GO:0042435)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
positive regulation of intracellular signal transduction (GO:1902533)	28	4	0.97	+	4.12	1.49E-02	5.54E-01
response to antibiotic (GO:0046677)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of sexual sporulation resulting in formation of a cellular spore (GO:0043940)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)"	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of spindle organization (GO:0090224)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
fructose metabolic process (GO:0006000)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
transcriptional start site selection at RNA polymerase II promoter (GO:0001174)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
DNA-templated transcriptional start site selection (GO:0001173)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
negative regulation of protein polymerization (GO:0032272)	14	2	0.49	+	4.12	8.28E-02	8.70E-01
response to alkaline pH (GO:0010446)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
positive regulation of translational fidelity (GO:0045903)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
protein localization to plasma membrane (GO:0072659)	28	4	0.97	+	4.12	1.49E-02	5.50E-01
regulation of ribonucleoprotein complex localization (GO:2000197)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315)	14	2	0.49	+	4.12	8.28E-02	8.68E-01
regulation of sexual sporulation (GO:0034306)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
positive regulation of protein transport (GO:0051222)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of mitophagy (GO:1901524)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
indolalkylamine biosynthetic process (GO:0046219)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
"retrograde transport, vesicle recycling within Golgi (GO:0000301)"	7	1	0.24	+	4.12	2.19E-01	1.00E+00
pentose catabolic process (GO:0019323)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
cellular response to decreased oxygen levels (GO:0036294)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
response to decreased oxygen levels (GO:0036293)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
regulation of cytokinesis (GO:0032465)	29	4	1	+	3.98	1.69E-02	5.52E-01
positive regulation of cell communication (GO:0010647)	29	4	1	+	3.98	1.69E-02	5.48E-01
positive regulation of signal transduction (GO:0009967)	29	4	1	+	3.98	1.69E-02	5.44E-01
regulation of cell division (GO:0051302)	29	4	1	+	3.98	1.69E-02	5.41E-01
regulation of cell wall organization or biogenesis (GO:1903338)	22	3	0.76	+	3.94	3.89E-02	6.57E-01
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	15	2	0.52	+	3.85	9.34E-02	9.34E-01
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	15	2	0.52	+	3.85	9.34E-02	9.32E-01
synaptonemal complex assembly (GO:0007130)	15	2	0.52	+	3.85	9.34E-02	9.30E-01
export across plasma membrane (GO:0140115)	15	2	0.52	+	3.85	9.34E-02	9.28E-01
positive regulation of signaling (GO:0023056)	30	4	1.04	+	3.85	1.89E-02	5.87E-01
cell wall polysaccharide biosynthetic process (GO:0070592)	15	2	0.52	+	3.85	9.34E-02	9.26E-01
U4 snRNA 3'-end processing (GO:0034475)	15	2	0.52	+	3.85	9.34E-02	9.24E-01
regulation of proteasomal protein catabolic process (GO:0061136)	15	2	0.52	+	3.85	9.34E-02	9.22E-01
cell wall polysaccharide metabolic process (GO:0010383)	15	2	0.52	+	3.85	9.34E-02	9.20E-01
nucleoside bisphosphate biosynthetic process (GO:0033866)	15	2	0.52	+	3.85	9.34E-02	9.18E-01
organic cation transport (GO:0015695)	38	5	1.32	+	3.8	9.42E-03	4.67E-01
positive regulation of cytoskeleton organization (GO:0051495)	38	5	1.32	+	3.8	9.42E-03	4.62E-01
cytokinesis (GO:0000910)	84	11	2.91	+	3.78	1.34E-04	3.71E-02
phosphorylation (GO:0016310)	107	14	3.71	+	3.78	1.64E-05	1.29E-02
regulation of polysaccharide metabolic process (GO:0032881)	23	3	0.8	+	3.76	4.36E-02	7.23E-01
aromatic amino acid family biosynthetic process (GO:0009073)	23	3	0.8	+	3.76	4.36E-02	7.21E-01
protein phosphorylation (GO:0006468)	86	11	2.98	+	3.69	1.66E-04	4.34E-02
DNA-templated DNA replication maintenance of fidelity (GO:0045005)	24	3	0.83	+	3.61	4.86E-02	7.58E-01
regulation of cellular component size (GO:0032535)	48	6	1.66	+	3.61	5.87E-03	3.89E-01
regulation of anatomical structure size (GO:0090066)	48	6	1.66	+	3.61	5.87E-03	3.84E-01
dicarboxylic acid biosynthetic process (GO:0043650)	24	3	0.83	+	3.61	4.86E-02	7.56E-01
establishment of mitotic sister chromatid cohesion (GO:0034087)	16	2	0.55	+	3.61	1.04E-01	8.79E-01
potassium ion transmembrane transport (GO:0071805)	16	2	0.55	+	3.61	1.04E-01	8.78E-01
protein unfolding (GO:0043335)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
carbohydrate homeostasis (GO:0033500)	16	2	0.55	+	3.61	1.04E-01	8.76E-01
osmosensory signaling pathway via Sho1 osmosensor (GO:0007232)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
establishment of protein localization to plasma membrane (GO:0061951)	16	2	0.55	+	3.61	1.04E-01	8.75E-01
response to ethanol (GO:0045471)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
replication fork processing (GO:0031297)	16	2	0.55	+	3.61	1.04E-01	8.73E-01
response to radiation (GO:0009314)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
oligosaccharide biosynthetic process (GO:0009312)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
phospholipid translocation (GO:0045332)	16	2	0.55	+	3.61	1.04E-01	8.72E-01
Golgi organization (GO:0007030)	32	4	1.11	+	3.61	2.36E-02	6.34E-01
valine metabolic process (GO:0006573)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
glycophagy (GO:0061723)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
negative regulation of programmed cell death (GO:0043069)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
glucose homeostasis (GO:0042593)	16	2	0.55	+	3.61	1.04E-01	8.70E-01
intracellular glucose homeostasis (GO:0001678)	16	2	0.55	+	3.61	1.04E-01	8.69E-01
regulation of autophagy of mitochondrion (GO:1903146)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
cellular response to oxygen levels (GO:0071453)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
cellular response to organonitrogen compound (GO:0071417)	16	2	0.55	+	3.61	1.04E-01	8.67E-01
regulation of phosphatase activity (GO:0010921)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
phosphatidylinositol dephosphorylation (GO:0046856)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
tRNA surveillance (GO:0106354)	16	2	0.55	+	3.61	1.04E-01	8.66E-01
inorganic ion import across plasma membrane (GO:0099587)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
negative regulation of mRNA catabolic process (GO:1902373)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
negative regulation of RNA catabolic process (GO:1902369)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
regulation of sporulation resulting in formation of a cellular spore (GO:0042173)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
TRAMP-dependent tRNA surveillance pathway (GO:0071038)	16	2	0.55	+	3.61	1.04E-01	8.64E-01
acetate metabolic process (GO:0006083)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
resolution of meiotic recombination intermediates (GO:0000712)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
glycerophospholipid catabolic process (GO:0046475)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
negative regulation of rDNA heterochromatin formation (GO:0061188)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
response to oxygen levels (GO:0070482)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
disaccharide biosynthetic process (GO:0046351)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
regulation of phosphoprotein phosphatase activity (GO:0043666)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
inorganic cation import across plasma membrane (GO:0098659)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
monoatomic anion transmembrane transport (GO:0098656)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
regulation of actin nucleation (GO:0051125)	16	2	0.55	+	3.61	1.04E-01	8.63E-01
chaperone cofactor-dependent protein refolding (GO:0051085)	16	2	0.55	+	3.61	1.04E-01	8.61E-01
regulation of RNA splicing (GO:0043484)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
