FUNCTION	Ref_num	List_num	expected	over under	foldEnrichment	pval	FDR
peptidase regulator activity (GO:0061134)	10	1	.35	+	2.87	2.99E-01	1.00E00
single-stranded telomeric DNA binding (GO:0043047)	10	1	.35	+	2.87	2.99E-01	1.00E00
ubiquitin-like protein transferase activity (GO:0019787)	110	11	3.83	+	2.87	1.45E-03	1.34E-01
aminoacyltransferase activity (GO:0016755)	113	11	3.93	+	2.80	1.81E-03	1.61E-01
telomeric DNA binding (GO:0042162)	31	3	1.08	+	2.78	9.17E-02	1.00E00
ATP-dependent chromatin remodeler activity (GO:0140658)	21	2	.73	+	2.74	1.65E-01	1.00E00
kinase activity (GO:0016301)	223	21	7.76	+	2.70	2.71E-05	1.00E-02
basal RNA polymerase II transcription machinery binding (GO:0001099)	32	3	1.11	+	2.69	9.87E-02	1.00E00
basal transcription machinery binding (GO:0001098)	32	3	1.11	+	2.69	9.87E-02	1.00E00
symporter activity (GO:0015293)	43	4	1.50	+	2.67	6.13E-02	1.00E00
polyamine transmembrane transporter activity (GO:0015203)	11	1	.38	+	2.61	3.23E-01	1.00E00
phosphatidic acid binding (GO:0070300)	11	1	.38	+	2.61	3.23E-01	1.00E00
ubiquitin conjugating enzyme activity (GO:0061631)	11	1	.38	+	2.61	3.23E-01	1.00E00
xenobiotic transmembrane transporter activity (GO:0042910)	11	1	.38	+	2.61	3.23E-01	1.00E00
syntaxin binding (GO:0019905)	11	1	.38	+	2.61	3.23E-01	1.00E00
carbohydrate phosphatase activity (GO:0019203)	11	1	.38	+	2.61	3.23E-01	1.00E00
intramembrane lipid transporter activity (GO:0140303)	11	1	.38	+	2.61	3.23E-01	1.00E00
sugar-phosphatase activity (GO:0050308)	11	1	.38	+	2.61	3.23E-01	1.00E00
quaternary ammonium group binding (GO:0050997)	11	1	.38	+	2.61	3.23E-01	1.00E00
organic cation transmembrane transporter activity (GO:0015101)	34	3	1.18	+	2.53	1.13E-01	1.00E00
actin filament binding (GO:0051015)	34	3	1.18	+	2.53	1.13E-01	1.00E00
ATPase-coupled transmembrane transporter activity (GO:0042626)	57	5	1.98	+	2.52	4.73E-02	1.00E00
cysteine-type deubiquitinase activity (GO:0004843)	23	2	.80	+	2.50	1.90E-01	1.00E00
sulfur compound transmembrane transporter activity (GO:1901682)	23	2	.80	+	2.50	1.90E-01	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	23	2	.80	+	2.50	1.90E-01	1.00E00
deubiquitinase activity (GO:0101005)	23	2	.80	+	2.50	1.90E-01	1.00E00
amino acid transmembrane transporter activity (GO:0015171)	47	4	1.64	+	2.44	7.97E-02	1.00E00
G-quadruplex DNA binding (GO:0051880)	12	1	.42	+	2.39	3.47E-01	1.00E00
modification-dependent protein binding (GO:0140030)	36	3	1.25	+	2.39	1.29E-01	1.00E00
gated channel activity (GO:0022836)	12	1	.42	+	2.39	3.47E-01	1.00E00
P-type ion transporter activity (GO:0015662)	12	1	.42	+	2.39	3.47E-01	1.00E00
deaminase activity (GO:0019239)	12	1	.42	+	2.39	3.47E-01	1.00E00
P-type transmembrane transporter activity (GO:0140358)	12	1	.42	+	2.39	3.47E-01	1.00E00
SNAP receptor activity (GO:0005484)	24	2	.84	+	2.39	2.03E-01	1.00E00
magnesium ion binding (GO:0000287)	61	5	2.12	+	2.35	6.02E-02	1.00E00
protein-lysine N-methyltransferase activity (GO:0016279)	25	2	.87	+	2.30	2.16E-01	1.00E00
lysine N-methyltransferase activity (GO:0016278)	25	2	.87	+	2.30	2.16E-01	1.00E00
DNA secondary structure binding (GO:0000217)	25	2	.87	+	2.30	2.16E-01	1.00E00
rRNA binding (GO:0019843)	77	6	2.68	+	2.24	5.08E-02	1.00E00
small GTPase binding (GO:0031267)	39	3	1.36	+	2.21	1.53E-01	1.00E00
methylation-dependent protein binding (GO:0140034)	13	1	.45	+	2.21	3.69E-01	1.00E00
4 iron, 4 sulfur cluster binding (GO:0051539)	26	2	.91	+	2.21	2.29E-01	1.00E00
methylated histone binding (GO:0035064)	13	1	.45	+	2.21	3.69E-01	1.00E00
ubiquitin-like protein peptidase activity (GO:0019783)	26	2	.91	+	2.21	2.29E-01	1.00E00
monooxygenase activity (GO:0004497)	13	1	.45	+	2.21	3.69E-01	1.00E00
phosphatidylinositol phosphate binding (GO:1901981)	67	5	2.33	+	2.14	8.30E-02	1.00E00
3'-5' exonuclease activity (GO:0008408)	27	2	.94	+	2.13	2.42E-01	1.00E00
GTPase binding (GO:0051020)	41	3	1.43	+	2.10	1.70E-01	1.00E00
protein phosphatase regulator activity (GO:0019888)	41	3	1.43	+	2.10	1.70E-01	1.00E00
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	14	1	.49	+	2.05	3.91E-01	1.00E00
ubiquitin protein ligase binding (GO:0031625)	28	2	.97	+	2.05	2.55E-01	1.00E00
lipase activity (GO:0016298)	42	3	1.46	+	2.05	1.79E-01	1.00E00
basic amino acid transmembrane transporter activity (GO:0015174)	14	1	.49	+	2.05	3.91E-01	1.00E00
triglyceride lipase activity (GO:0004806)	14	1	.49	+	2.05	3.91E-01	1.00E00
FAD binding (GO:0071949)	14	1	.49	+	2.05	3.91E-01	1.00E00
oxidoreductase activity, acting on metal ions (GO:0016722)	14	1	.49	+	2.05	3.91E-01	1.00E00
phosphatase regulator activity (GO:0019208)	42	3	1.46	+	2.05	1.79E-01	1.00E00
nuclear localization sequence binding (GO:0008139)	14	1	.49	+	2.05	3.91E-01	1.00E00
enzyme inhibitor activity (GO:0004857)	57	4	1.98	+	2.02	1.36E-01	1.00E00
ligase activity, forming carbon-nitrogen bonds (GO:0016879)	43	3	1.50	+	2.00	1.88E-01	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	29	2	1.01	+	1.98	2.68E-01	1.00E00
ubiquitin-like protein ligase binding (GO:0044389)	29	2	1.01	+	1.98	2.68E-01	1.00E00
phosphatidylinositol bisphosphate binding (GO:1902936)	29	2	1.01	+	1.98	2.68E-01	1.00E00
monoatomic ion transmembrane transporter activity (GO:0015075)	174	12	6.06	+	1.98	1.98E-02	8.50E-01
cytoskeletal protein binding (GO:0008092)	117	8	4.07	+	1.96	6.58E-02	1.00E00
metallopeptidase activity (GO:0008237)	44	3	1.53	+	1.96	1.97E-01	1.00E00
acyltransferase activity (GO:0016746)	235	16	8.18	+	1.96	9.56E-03	5.36E-01
active monoatomic ion transmembrane transporter activity (GO:0022853)	103	7	3.59	+	1.95	9.21E-02	1.00E00
secondary active transmembrane transporter activity (GO:0015291)	89	6	3.10	+	1.94	1.31E-01	1.00E00
fructose transmembrane transporter activity (GO:0005353)	15	1	.52	+	1.91	4.13E-01	1.00E00
mRNA binding (GO:0003729)	240	16	8.36	+	1.91	1.09E-02	5.85E-01
mannose transmembrane transporter activity (GO:0015578)	15	1	.52	+	1.91	4.13E-01	1.00E00
clathrin binding (GO:0030276)	15	1	.52	+	1.91	4.13E-01	1.00E00
nucleobase-containing compound kinase activity (GO:0019205)	15	1	.52	+	1.91	4.13E-01	1.00E00
3'-5'-RNA exonuclease activity (GO:0000175)	15	1	.52	+	1.91	4.13E-01	1.00E00
general transcription initiation factor binding (GO:0140296)	30	2	1.04	+	1.91	2.81E-01	1.00E00
general transcription initiation factor activity (GO:0140223)	30	2	1.04	+	1.91	2.81E-01	1.00E00
histone methyltransferase activity (GO:0042054)	15	1	.52	+	1.91	4.13E-01	1.00E00
alpha-1,2-mannosyltransferase activity (GO:0000026)	15	1	.52	+	1.91	4.13E-01	1.00E00
ATP-dependent activity (GO:0140657)	331	22	11.52	+	1.91	2.99E-03	2.34E-01
ATPase-coupled monoatomic cation transmembrane transporter activity (GO:0019829)	31	2	1.08	+	1.85	2.94E-01	1.00E00
cysteine-type peptidase activity (GO:0008234)	31	2	1.08	+	1.85	2.94E-01	1.00E00
ATP hydrolysis activity (GO:0016887)	249	16	8.67	+	1.85	1.94E-02	8.76E-01
protein kinase regulator activity (GO:0019887)	63	4	2.19	+	1.82	2.82E-01	1.00E00
ATP binding (GO:0005524)	678	43	23.61	+	1.82	7.89E-05	2.54E-02
adenyl ribonucleotide binding (GO:0032559)	682	43	23.75	+	1.81	8.45E-05	1.98E-02
active transmembrane transporter activity (GO:0022804)	175	11	6.09	+	1.81	5.50E-02	1.00E00
molecular function inhibitor activity (GO:0140678)	64	4	2.23	+	1.80	2.85E-01	1.00E00
glucose transmembrane transporter activity (GO:0005355)	16	1	.56	+	1.80	4.33E-01	1.00E00
polyubiquitin modification-dependent protein binding (GO:0031593)	16	1	.56	+	1.80	4.33E-01	1.00E00
sulfur compound binding (GO:1901681)	16	1	.56	+	1.80	4.33E-01	1.00E00
monoatomic ion channel activity (GO:0005216)	32	2	1.11	+	1.80	3.07E-01	1.00E00
transferase activity, transferring alkyl or aryl (other than methyl) groups (GO:0016765)	48	3	1.67	+	1.80	2.33E-01	1.00E00
metal cluster binding (GO:0051540)	48	3	1.67	+	1.80	2.33E-01	1.00E00
iron-sulfur cluster binding (GO:0051536)	48	3	1.67	+	1.80	2.33E-01	1.00E00
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	32	2	1.11	+	1.80	3.07E-01	1.00E00
DNA nuclease activity (GO:0004536)	32	2	1.11	+	1.80	3.07E-01	1.00E00
D-glucose transmembrane transporter activity (GO:0055056)	16	1	.56	+	1.80	4.33E-01	1.00E00
adenyl nucleotide binding (GO:0030554)	722	45	25.14	+	1.79	7.89E-05	2.26E-02
transferase activity, transferring phosphorus-containing groups (GO:0016772)	370	23	12.88	+	1.79	7.52E-03	4.51E-01
kinase regulator activity (GO:0019207)	65	4	2.26	+	1.77	2.88E-01	1.00E00
nucleotide binding (GO:0000166)	894	54	31.13	+	1.73	2.68E-05	1.38E-02
nucleoside phosphate binding (GO:1901265)	894	54	31.13	+	1.73	2.68E-05	1.15E-02
phosphatidylinositol binding (GO:0035091)	83	5	2.89	+	1.73	2.14E-01	1.00E00
monoatomic cation transmembrane transporter activity (GO:0008324)	166	10	5.78	+	1.73	8.18E-02	1.00E00
enzyme binding (GO:0019899)	168	10	5.85	+	1.71	8.49E-02	1.00E00
protein-macromolecule adaptor activity (GO:0030674)	236	14	8.22	+	1.70	4.48E-02	9.97E-01
DNA exonuclease activity, producing 5'-phosphomonoesters (GO:0016895)	17	1	.59	+	1.69	4.53E-01	1.00E00
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	17	1	.59	+	1.69	4.53E-01	1.00E00
phosphotransferase activity, phosphate group as acceptor (GO:0016776)	17	1	.59	+	1.69	4.53E-01	1.00E00
pentosyltransferase activity (GO:0016763)	17	1	.59	+	1.69	4.53E-01	1.00E00
chromatin DNA binding (GO:0031490)	17	1	.59	+	1.69	4.53E-01	1.00E00
protein phosphatase binding (GO:0019903)	17	1	.59	+	1.69	4.53E-01	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	17	1	.59	+	1.69	4.53E-01	1.00E00
U3 snoRNA binding (GO:0034511)	17	1	.59	+	1.69	4.53E-01	1.00E00
anion binding (GO:0043168)	924	54	32.17	+	1.68	8.05E-05	2.08E-02
inorganic molecular entity transmembrane transporter activity (GO:0015318)	189	11	6.58	+	1.67	1.01E-01	1.00E00
purine ribonucleoside triphosphate binding (GO:0035639)	774	45	26.95	+	1.67	4.63E-04	5.43E-02
purine ribonucleotide binding (GO:0032555)	778	45	27.09	+	1.66	4.81E-04	5.39E-02
proton transmembrane transporter activity (GO:0015078)	104	6	3.62	+	1.66	1.78E-01	1.00E00
ribonucleotide binding (GO:0032553)	798	46	27.79	+	1.66	3.88E-04	5.57E-02
primary active transmembrane transporter activity (GO:0015399)	87	5	3.03	+	1.65	2.30E-01	1.00E00
purine nucleotide binding (GO:0017076)	818	47	28.48	+	1.65	4.28E-04	5.53E-02
heterocyclic compound binding (GO:1901363)	944	54	32.87	+	1.64	1.41E-04	2.80E-02
carbohydrate derivative binding (GO:0097367)	810	46	28.20	+	1.63	6.08E-04	6.54E-02
catalytic activity, acting on a protein (GO:0140096)	617	35	21.48	+	1.63	3.47E-03	2.56E-01
transferase activity (GO:0016740)	913	51	31.79	+	1.60	3.84E-04	5.83E-02
guanyl-nucleotide exchange factor activity (GO:0005085)	54	3	1.88	+	1.60	4.36E-01	1.00E00
ubiquitin-like protein binding (GO:0032182)	54	3	1.88	+	1.60	4.36E-01	1.00E00
monocarboxylic acid transmembrane transporter activity (GO:0008028)	18	1	.63	+	1.60	4.72E-01	1.00E00
phosphatidylinositol-4-phosphate binding (GO:0070273)	18	1	.63	+	1.60	4.72E-01	1.00E00
inorganic cation transmembrane transporter activity (GO:0022890)	162	9	5.64	+	1.60	1.85E-01	1.00E00
phosphatase binding (GO:0019902)	18	1	.63	+	1.60	4.72E-01	1.00E00
DNA exonuclease activity (GO:0004529)	18	1	.63	+	1.60	4.72E-01	1.00E00
phosphatidylinositol-3-phosphate binding (GO:0032266)	36	2	1.25	+	1.60	3.58E-01	1.00E00
pyrophosphatase activity (GO:0016462)	365	20	12.71	+	1.57	3.85E-02	8.87E-01
ion binding (GO:0043167)	1679	92	58.46	+	1.57	6.10E-07	1.57E-03
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	366	20	12.74	+	1.57	3.90E-02	8.90E-01
hydrolase activity, acting on acid anhydrides (GO:0016817)	366	20	12.74	+	1.57	3.90E-02	8.82E-01
protein binding (GO:0005515)	791	43	27.54	+	1.56	2.40E-03	2.06E-01
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016796)	37	2	1.29	+	1.55	3.71E-01	1.00E00
ribonucleoside triphosphate phosphatase activity (GO:0017111)	333	18	11.59	+	1.55	6.26E-02	1.00E00
kinase binding (GO:0019900)	37	2	1.29	+	1.55	3.71E-01	1.00E00
enzyme regulator activity (GO:0030234)	316	17	11.00	+	1.55	7.99E-02	1.00E00
small molecule binding (GO:0036094)	1731	92	60.27	+	1.53	2.61E-06	2.25E-03
molecular adaptor activity (GO:0060090)	264	14	9.19	+	1.52	1.18E-01	1.00E00
hexose transmembrane transporter activity (GO:0015149)	19	1	.66	+	1.51	4.91E-01	1.00E00
monosaccharide transmembrane transporter activity (GO:0015145)	19	1	.66	+	1.51	4.91E-01	1.00E00
sugar transmembrane transporter activity (GO:0051119)	19	1	.66	+	1.51	4.91E-01	1.00E00
phospholipase activity (GO:0004620)	19	1	.66	+	1.51	4.91E-01	1.00E00
2 iron, 2 sulfur cluster binding (GO:0051537)	19	1	.66	+	1.51	4.91E-01	1.00E00
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	19	1	.66	+	1.51	4.91E-01	1.00E00
DNA-binding transcription repressor activity (GO:0001217)	19	1	.66	+	1.51	4.91E-01	1.00E00
tRNA methyltransferase activity (GO:0008175)	19	1	.66	+	1.51	4.91E-01	1.00E00
phosphoric ester hydrolase activity (GO:0042578)	135	7	4.70	+	1.49	2.38E-01	1.00E00
metal ion binding (GO:0046872)	969	50	33.74	+	1.48	2.93E-03	2.36E-01
SNARE binding (GO:0000149)	39	2	1.36	+	1.47	3.96E-01	1.00E00
cation binding (GO:0043169)	982	50	34.19	+	1.46	4.15E-03	2.82E-01
transmembrane transporter activity (GO:0022857)	395	20	13.75	+	1.45	8.68E-02	1.00E00
transporter activity (GO:0005215)	436	22	15.18	+	1.45	7.63E-02	1.00E00
RNA exonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	20	1	.70	+	1.44	5.08E-01	1.00E00
lipid transporter activity (GO:0005319)	40	2	1.39	+	1.44	6.50E-01	1.00E00
intramolecular oxidoreductase activity (GO:0016860)	20	1	.70	+	1.44	5.08E-01	1.00E00
structural constituent of cytoskeleton (GO:0005200)	20	1	.70	+	1.44	5.08E-01	1.00E00
hexosyltransferase activity (GO:0016758)	80	4	2.79	+	1.44	3.61E-01	1.00E00
FMN binding (GO:0010181)	20	1	.70	+	1.44	5.08E-01	1.00E00
translation initiation factor binding (GO:0031369)	20	1	.70	+	1.44	5.08E-01	1.00E00
amide transmembrane transporter activity (GO:0042887)	20	1	.70	+	1.44	5.08E-01	1.00E00
RNA exonuclease activity (GO:0004532)	20	1	.70	+	1.44	5.08E-01	1.00E00
DNA endonuclease activity (GO:0004520)	20	1	.70	+	1.44	5.08E-01	1.00E00
carboxylic acid transmembrane transporter activity (GO:0046943)	60	3	2.09	+	1.44	4.66E-01	1.00E00
molecular function regulator activity (GO:0098772)	363	18	12.64	+	1.42	1.37E-01	1.00E00
zinc ion binding (GO:0008270)	586	29	20.40	+	1.42	5.65E-02	1.00E00
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	162	8	5.64	+	1.42	2.76E-01	1.00E00
glycosyltransferase activity (GO:0016757)	102	5	3.55	+	1.41	4.06E-01	1.00E00
protein methyltransferase activity (GO:0008276)	41	2	1.43	+	1.40	6.53E-01	1.00E00
organic acid transmembrane transporter activity (GO:0005342)	62	3	2.16	+	1.39	4.77E-01	1.00E00
RNA helicase activity (GO:0003724)	42	2	1.46	+	1.37	6.57E-01	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	84	4	2.92	+	1.37	5.39E-01	1.00E00
N-methyltransferase activity (GO:0008170)	42	2	1.46	+	1.37	6.57E-01	1.00E00
organic cyclic compound binding (GO:0097159)	1998	94	69.57	+	1.35	4.32E-04	5.30E-02
carboxylic ester hydrolase activity (GO:0052689)	64	3	2.23	+	1.35	4.88E-01	1.00E00
ATP-dependent activity, acting on DNA (GO:0008094)	86	4	2.99	+	1.34	5.44E-01	1.00E00
transcription coactivator activity (GO:0003713)	43	2	1.50	+	1.34	6.61E-01	1.00E00
catalytic activity (GO:0003824)	2323	108	80.88	+	1.34	1.25E-04	2.69E-02
binding (GO:0005488)	3120	144	108.63	+	1.33	7.39E-07	9.54E-04
transition metal ion binding (GO:0046914)	633	29	22.04	+	1.32	1.10E-01	1.00E00
ATPase activator activity (GO:0001671)	22	1	.77	+	1.31	5.42E-01	1.00E00
exonuclease activity (GO:0004527)	44	2	1.53	+	1.31	6.66E-01	1.00E00
hydrolase activity (GO:0016787)	971	44	33.81	+	1.30	5.60E-02	1.00E00
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	89	4	3.10	+	1.29	5.53E-01	1.00E00
nucleoside-triphosphatase regulator activity (GO:0060589)	112	5	3.90	+	1.28	5.96E-01	1.00E00
GTPase regulator activity (GO:0030695)	112	5	3.90	+	1.28	5.96E-01	1.00E00
DNA-binding transcription factor activity (GO:0003700)	180	8	6.27	+	1.28	4.11E-01	1.00E00
ATP-dependent activity, acting on RNA (GO:0008186)	45	2	1.57	+	1.28	6.70E-01	1.00E00
amide binding (GO:0033218)	23	1	.80	+	1.25	5.58E-01	1.00E00
passive transmembrane transporter activity (GO:0022803)	46	2	1.60	+	1.25	6.74E-01	1.00E00
RNA polymerase II complex binding (GO:0000993)	23	1	.80	+	1.25	5.58E-01	1.00E00
lipid transfer activity (GO:0120013)	23	1	.80	+	1.25	5.58E-01	1.00E00
channel activity (GO:0015267)	46	2	1.60	+	1.25	6.74E-01	1.00E00
phospholipid binding (GO:0005543)	115	5	4.00	+	1.25	6.01E-01	1.00E00
phosphatase activity (GO:0016791)	116	5	4.04	+	1.24	6.03E-01	1.00E00
protein-containing complex binding (GO:0044877)	327	14	11.39	+	1.23	4.35E-01	1.00E00
DNA-binding transcription factor binding (GO:0140297)	47	2	1.64	+	1.22	6.79E-01	1.00E00
ubiquitin binding (GO:0043130)	47	2	1.64	+	1.22	6.79E-01	1.00E00
DNA binding (GO:0003677)	611	26	21.27	+	1.22	2.94E-01	1.00E00
hydrolase activity, acting on ester bonds (GO:0016788)	360	15	12.53	+	1.20	4.57E-01	1.00E00
heat shock protein binding (GO:0031072)	24	1	.84	+	1.20	5.74E-01	1.00E00
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	24	1	.84	+	1.20	5.74E-01	1.00E00
myosin phosphatase activity (GO:0017018)	24	1	.84	+	1.20	5.74E-01	1.00E00
tRNA binding (GO:0000049)	48	2	1.67	+	1.20	6.84E-01	1.00E00
chromatin binding (GO:0003682)	147	6	5.12	+	1.17	6.46E-01	1.00E00
carbohydrate:monoatomic cation symporter activity (GO:0005402)	25	1	.87	+	1.15	5.88E-01	1.00E00
carbohydrate:proton symporter activity (GO:0005351)	25	1	.87	+	1.15	5.88E-01	1.00E00
iron ion binding (GO:0005506)	25	1	.87	+	1.15	5.88E-01	1.00E00
lipid binding (GO:0008289)	151	6	5.26	+	1.14	6.53E-01	1.00E00
cis-regulatory region sequence-specific DNA binding (GO:0000987)	126	5	4.39	+	1.14	6.27E-01	1.00E00
transcription factor binding (GO:0008134)	76	3	2.65	+	1.13	7.48E-01	1.00E00
nuclease activity (GO:0004518)	155	6	5.40	+	1.11	6.60E-01	1.00E00
nucleic acid binding (GO:0003676)	1294	50	45.06	+	1.11	3.93E-01	1.00E00
RNA binding (GO:0003723)	701	27	24.41	+	1.11	5.83E-01	1.00E00
protein heterodimerization activity (GO:0046982)	26	1	.91	+	1.10	6.03E-01	1.00E00
ATP-dependent protein folding chaperone (GO:0140662)	26	1	.91	+	1.10	6.03E-01	1.00E00
DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	52	2	1.81	+	1.10	7.03E-01	1.00E00
helicase activity (GO:0004386)	105	4	3.66	+	1.09	7.86E-01	1.00E00
transcription regulator activity (GO:0140110)	264	10	9.19	+	1.09	7.31E-01	1.00E00
organic anion transmembrane transporter activity (GO:0008514)	80	3	2.79	+	1.08	7.58E-01	1.00E00
acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	107	4	3.73	+	1.07	7.89E-01	1.00E00
transcription corepressor activity (GO:0003714)	27	1	.94	+	1.06	6.17E-01	1.00E00
monoatomic cation channel activity (GO:0005261)	27	1	.94	+	1.06	6.17E-01	1.00E00
carbohydrate derivative transmembrane transporter activity (GO:1901505)	27	1	.94	+	1.06	6.17E-01	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	27	1	.94	+	1.06	6.17E-01	1.00E00
DNA-binding transcription activator activity (GO:0001216)	54	2	1.88	+	1.06	7.12E-01	1.00E00
RNA polymerase core enzyme binding (GO:0043175)	27	1	.94	+	1.06	6.17E-01	1.00E00
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	81	3	2.82	+	1.06	7.60E-01	1.00E00
molecular function activator activity (GO:0140677)	164	6	5.71	+	1.05	8.28E-01	1.00E00
unfolded protein binding (GO:0051082)	82	3	2.86	+	1.05	7.63E-01	1.00E00
catalytic activity, acting on DNA (GO:0140097)	192	7	6.69	+	1.05	8.41E-01	1.00E00
RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978)	110	4	3.83	+	1.04	7.93E-01	1.00E00
enzyme activator activity (GO:0008047)	138	5	4.80	+	1.04	8.14E-01	1.00E00
L-amino acid transmembrane transporter activity (GO:0015179)	28	1	.97	+	1.03	1.00E00	1.00E00
protein serine/threonine phosphatase activity (GO:0004722)	28	1	.97	+	1.03	1.00E00	1.00E00
RNA polymerase binding (GO:0070063)	28	1	.97	+	1.03	1.00E00	1.00E00
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	28	1	.97	+	1.03	1.00E00	1.00E00
GTPase activity (GO:0003924)	84	3	2.92	+	1.03	7.68E-01	1.00E00
catalytic activity, acting on a nucleic acid (GO:0140640)	451	16	15.70	+	1.02	8.94E-01	1.00E00
molecular_function (GO:0003674)	6013	211	209.36	+	1.01	4.12E-01	1.00E00
histone binding (GO:0042393)	57	2	1.98	+	1.01	1.00E00	1.00E00
GTPase activator activity (GO:0005096)	57	2	1.98	+	1.01	1.00E00	1.00E00
snoRNA binding (GO:0030515)	29	1	1.01	-	.99	1.00E00	1.00E00
